formula,intensity,m/z
C18H34O4,275933792,313.23842
C10H21N1O10,2558258,314.10929
C14H21N1O7,2966325,314.12449
C15H8O8,6237190,315.01468
C12H12O10,3291146,315.0358
C16H12O7,7519246,315.05101
C13H16O9,6468627,315.07219
C17H16O6,6536215,315.08743
C14H20O8,9268251,315.10851
C18H20O5,2738207,315.12381
C15H24O7,12500004,315.14497
C16H28O6,38013996,315.18132
C17H32O5,7031861,315.21767
C18H36O4,87878720,315.25413
C12H15N1O9,3272954,316.06745
C14H23N1O7,5043467,316.14017
C16H31N1O5,3259676,316.21297
C15H10O8,263679456,317.03027
C16H14O7,27348448,317.06669
C13H18O9,4336102,317.08779
C17H18O6,5199338,317.10308
C14H22O8,7400942,317.12423
C18H22O5,3743218,317.1394
C15H26O7,13483510,317.16059
C16H30O6,9356799,317.19696
C17H34O5,4246024,317.2334
C15H13N1O7,2664134,318.06192
C14H25N1O7,2921179,318.15582
C14H8O9,2533278,319.00958
C15H12O8,169635744,319.04591
C12H16O10,2845611,319.06709
C16H16O7,26832814,319.08234
C13H20O9,2937779,319.10341
C17H20O6,6692791,319.11873
C14H24O8,7501756,319.13987
C18H24O5,4350911,319.15506
C15H28O7,10289092,319.17623
C19H28O4,2271175,319.19153
C16H32O6,2474444,319.21263
C17H36O5,2478037,319.24905
C14H7N7O3,4668555,320.05374
C13H23N1O8,2610334,320.13509
C14H27N1O7,2792614,320.17147
C14H10O9,23843174,321.02519
C15H14O8,111178096,321.06163
C12H18O10,5063028,321.08272
C16H18O7,63058296,321.09795
C17H22O6,6113663,321.13438
C14H26O8,4260228,321.15548
C18H26O5,14393735,321.17077
C15H30O7,4631948,321.19193
C13H8O10,2576162,323.00448
C14H12O9,21754666,323.04087
C11H16O11,3435311,323.06199
C15H16O8,10375986,323.07726
C12H20O10,4009783,323.09842
C16H20O7,7144251,323.11361
C17H24O6,9657155,323.15005
C18H28O5,67760968,323.18637
C12H23N1O9,2513436,324.12998
C13H10O10,5455073,325.02015
C17H10O7,3528933,325.03552
C14H14O9,20804842,325.0565
C11H18O11,6491374,325.07763
C15H18O8,14009585,325.09293
C16H22O7,9508089,325.12924
C17H26O6,15955201,325.16571
C18H30O5,193557776,325.20204
C19H34O4,3451154,325.23842
C13H13N1O9,19248580,326.05183
C11H29N5O6,3339750,326.20439
C13H12O10,5469852,327.03573
C17H12O7,2528927,327.05101
C14H16O9,8124068,327.0722
C18H16O6,33330856,327.08743
C11H20O11,7556777,327.09327
C15H20O8,8369836,327.10851
C16H24O7,10208948,327.14497
C9H24N6O7,5947064,327.16352
