,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
4293,3763,279.0424539631769,279.0433445830382,,2385090.305867308,554006.9499464858,4.752043381601705,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4294,3764,279.03795801934234,279.03884862575285,,5953090.121233672,554016.1997854612,11.86091044062162,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4295,3765,279.03188744877446,279.03277803702326,,6717520.740874772,554027.9498515405,13.383958627863414,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4296,3766,279.02434278989534,279.02523335557225,,2978241.60095983,554043.199813538,5.933835399790267,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4297,3767,279.02138789749745,279.02227845433396,,3668150.4414143628,443239.1599649399,7.308406723620411,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4298,3769,279.003124334116,279.0040148363121,,3375195.683935397,443268.1599880028,6.724724959889281,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4299,3770,278.525776884682,278.5266659587172,,2156642.8725368646,555034.9499850041,4.296885725335492,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4300,3772,278.15196338474686,278.15285134032126,,25208166.745879937,555780.949993198,50.22463998632988,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4301,3775,278.042256998985,278.04314462630475,,5179488.54651081,556000.1999574439,10.319590083017117,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4302,3776,278.0354360409343,278.03632364784477,,5508760.475859019,556013.4499817141,10.975630019432602,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4303,3777,278.03466463412127,278.03555223872354,,4325724.513542013,444812.1597711046,8.618554397978922,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4304,3779,278.02416299761285,278.0250505707927,,8430254.437004343,444828.95987462177,16.796401672521682,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4305,3780,278.0164966281182,278.0173841783591,,3362529.2163621504,556051.6999104805,6.699488345891208,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4306,3781,278.0135214421229,278.01440898346164,,2943623.0020104065,556057.6999927688,5.864861456282451,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4307,3782,278.0058673293537,278.00675484779015,,4736119.8002256565,556072.9499219323,9.436224152926156,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4308,3783,277.51799010408894,277.5188761626766,,2223124.6341853146,557050.1997452076,4.429343693346836,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4309,3785,277.18246460618104,277.18334966074167,,2455694.3772749887,159349.12853258775,4.892714621353778,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4310,3790,277.08396106551396,277.0848458253044,,3913734.515874028,446338.3599922149,7.797707347916253,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4311,3792,277.05874149559486,277.0596261799156,,8680611.425819222,557973.949963592,17.29521183027915,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4312,3794,277.0526490274446,277.05353369353355,,2217608.9679153366,557986.2001250911,4.41835430425373,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4313,3795,277.0450804642915,277.04596510773143,,4084366.0556168803,558001.4499696293,8.137672873386231,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4314,3798,277.02682129883505,277.027705887634,,5895841.914705627,558038.199743277,11.74684936701324,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4315,3799,277.022551677297,277.023436253319,,21280714.53405216,558046.4500200843,42.399601561637425,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4316,3800,277.01624873851756,277.01713329567787,,6541917.535034891,558059.2000387107,13.034087576840044,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4317,3801,277.00871549335375,277.00960002797063,,2165333.4175167694,558074.6998816619,4.314200728735018,-1,,,,,,,,unassigned,,,,,,,,,,,,,
