formula,intensity,m/z
C13H14O10,3179503,329.05139
C17H14O7,5917681,329.06667
C14H18O9,2131956,329.08786
C18H18O6,3167222,329.1031
C17H18N2O5,1011191,329.11418
C15H22O8,2402297,329.12419
C19H22O5,1184763,329.1394
C16H26O7,2365950,329.1606
C17H30O6,2888706,329.19701
C18H34O5,47041544,329.23336
C19H38O4,11602956,329.26977
C16H29N1O6,1302661,330.19226
C15H8O9,1347824,331.00962
C16H12O8,5821685,331.04594
C13H16O10,17554680,331.06711
C17H16O7,11881721,331.08235
C14H20O9,1577724,331.10342
C18H20O6,4855038,331.11872
C15H24O8,1427201,331.13988
C16H28O7,1646854,331.17626
C17H32O6,1633546,331.21259
C18H36O5,20860174,331.24899
C16H31N1O6,1068171,332.20781
C15H10O9,11685365,333.02523
C16H14O8,15998458,333.06157
C17H18O7,17280510,333.09802
C18H22O6,4929027,333.13436
C19H26O5,1144328,333.17076
C16H33N1O6,2317455,334.22359
C15H12O9,5480183,335.04085
C12H16O11,889850,335.06202
C16H16O8,28110588,335.07727
C17H20O7,120377088,335.11361
C13H24N2O8,1050885,335.146
C18H24O6,2729733,335.15003
C15H28O8,1381128,335.17118
C19H28O5,1421066,335.18644
C15H15N1O8,842874,336.07258
C16H19N1O7,1209727,336.10886
C22H43N1O1,6403995,336.32721
C10H6N6O8,2837490,337.01733
C14H10O10,1524210,337.0201
C15H14O9,13029367,337.05651
C12H18O11,1218042,337.07765
C16H18O8,32731132,337.09291
C17H22O7,3155968,337.12929
C18H26O6,8148997,337.16568
C16H21N1O7,6203518,338.12452
C14H12O10,10563824,339.0358
C18H12O7,3220722,339.05102
C11H16O12,1062643,339.05679
C15H16O9,6224117,339.07216
C12H20O11,2633976,339.09331
C16H20O8,3034361,339.10859
C17H24O7,7725310,339.14493
C18H28O6,13644034,339.18134
C19H32O5,2171143,339.21768
C23H32O2,1217801,339.23305
C13H11N1O10,1444205,340.03117
C14H15N1O9,844913,340.06736
C14H14O10,2345452,341.05139
C18H14O7,2544110,341.0667
C11H18O12,1055983,341.07261
C15H18O9,3489265,341.08779
C12H22O11,43684340,341.10894
C16H22O8,6144501,341.12424
C17H26O7,9413114,341.16056
C18H30O6,27234814,341.19702
C12H30N4O7,3326463,341.20419
C19H34O5,2130435,341.23334
C20H38O4,2153991,341.26984
C13H13N1O10,29545064,342.04669
C13H12O11,2579170,343.0307
C14H16O10,11383527,343.06706
C18H16O7,3647209,343.08229
C11H20O12,2874089,343.08818
C15H20O9,2189035,343.10349
C19H20O6,1374957,343.11883
C12H24O11,2263278,343.12463
C16H24O8,5266160,343.13987
C20H24O5,1022706,343.15508
C17H28O7,1688308,343.17622
C18H32O6,41227000,343.21262
C19H36O5,4455165,343.249
C13H15N1O10,1279330,344.06242
C16H27N1O7,1032815,344.1715
C17H14O8,4903902,345.06162
C14H18O10,1261024,345.08276
C18H18O7,3845090,345.09796
C17H18N2O6,1107939,345.10915
C15H22O9,2317285,345.11912
C19H22O6,2510822,345.13438
C16H26O8,1791465,345.15554
C20H26O5,1914347,345.17071
C17H30O7,1654253,345.1919
C18H34O6,8829938,345.2283
C19H38O5,3299319,345.26464
C16H29N1O7,1423976,346.18717
C16H12O9,2897105,347.04086
C13H16O11,1644244,347.062
C17H16O8,11068630,347.07722
C18H20O7,5663963,347.11366
C17H20N2O6,1194716,347.12493
C15H24O9,1514717,347.1348
C19H24O6,1958623,347.15
C16H28O8,928225,347.17107
C20H28O5,1433827,347.18643
C17H32O7,1403110,347.20753
C18H36O6,1904874,347.24392
C15H11N1O9,968524,348.03621
C16H31N1O7,1043040,348.20291
C15H10O10,1681861,349.02007
C12H14O12,1182664,349.04128
C16H14O9,21935562,349.05654
C13H18O11,1150412,349.07759
C17H18O8,13350350,349.09289
C18H22O7,3417554,349.12932
C15H26O9,1087957,349.15049
C19H26O6,2834903,349.16571
C20H30O5,1544155,349.20212
C15H13N1O9,1608260,350.05177
C16H33N1O7,908120,350.21853
C15H12O10,2607805,351.03582
C12H16O12,6883008,351.05691
C16H16O9,19642050,351.07214
C13H20O11,2794180,351.09326
C17H20O8,5656262,351.10855
C18H24O7,3657418,351.14491
C19H28O6,3797711,351.18132
C20H32O5,3099347,351.2177
C15H15N1O9,29546300,352.06743
C16H19N1O8,2650944,352.10378
C14H10O11,918704,353.01497
C15H14O10,9738165,353.05145
C19H14O7,2403255,353.06665
C12H18O12,1232311,353.07262
C16H18O9,17864634,353.08779
C17H22O8,3183550,353.12424
C18H26O7,9091010,353.16056
C11H26N6O7,1483205,353.17913
C20H34O5,6264779,353.23334
C15H17N1O9,6082612,354.08305
C14H12O11,993449,355.03066
C15H16O10,3287213,355.06709
C19H16O7,1466031,355.08232
C12H20O12,2885808,355.08824
