m/z,intensity,formula
751.2092821887859,3246773.8960059662,C34H40O19
751.1882046054984,4133108.0590471462,C37H36O17
751.1516466642635,3954465.340940094,C36H32O18
749.3025427624457,5079626.451518006,C37H50O16
749.2662485199351,5411457.865353102,C36H46O17
749.2300166411237,5157283.284951956,C35H42O18
749.2086831080093,3350743.69103347,C38H38O16
749.1934564092172,4327888.901601554,C34H38O19
749.171996977934,4185515.650704742,C37H34O17
749.1356040564762,3573319.9181460333,C36H30O18
747.3235925742625,3552817.2180825896,C38H52O15
747.2871513310023,6659738.82800355,C37H48O16
747.2508950671979,7192480.935254889,C36H44O17
747.2146027879448,6007578.551463085,C35H40O18
745.2707456316974,9726524.453100573,C37H46O16
745.2344222523926,8979910.01158985,C36H42O17
745.1981740269284,6367784.594449942,C35H38O18
745.1618988826735,4690902.367061687,C34H34O19
745.1257575987574,3854991.357386076,C33H30O20
743.3287997982895,3500953.2582328185,C39H52O14
743.2922438181077,6516857.592240959,C38H48O15
743.2559741494536,8682030.328292197,C37H44O16
743.2194705173715,7099905.229802775,C36H40O17
743.1830633803187,5654610.506905212,C35H36O18
743.1467008196807,3326784.710490489,C34H32O19
741.3124597310434,4322631.905064324,C39H50O14
741.2763367889509,6995761.542544363,C38H46O15
741.2400305609709,7354866.752075393,C37H42O16
741.2038030018563,6304098.776597301,C36H38O17
741.1676446233788,5081658.555241249,C35H34O18
739.2810697057341,3614485.841383007,C48H40N2O6
739.2088875208555,3265041.6425033514,C33H40O19
739.1877972654593,5220056.572585555,C36H36O17
739.151385894846,4588591.554354729,C35H32O18
739.1151763790382,4261938.01616635,C34H28O19
737.2815071117134,3603593.655586614,C39H46O14
737.2666311788252,4955333.728546677,C35H46O17
737.2451316352764,5338879.403450027,C38H42O15
737.230048595959,4859902.785030541,C34H42O18
737.2089302884501,5257537.86960775,C37H38O16
737.1935614403185,3157570.882561574,C33H38O19
737.1722046431232,4423378.481878891,C36H34O17
737.1357403189571,4316808.433879404,C35H30O18
735.2872619934875,5765826.702811681,C36H48O16
735.2507917799875,7295162.420330101,C35H44O17
735.2145422675483,5683330.916244276,C34H40O18
735.1205191947934,3745672.9265914536,C35H28O18
733.3072968682071,5447412.572907166,C37H50O15
733.2710725789211,9107632.425176824,C36H46O16
733.2349231687485,7498040.004411942,C35H42O17
733.1986233299152,6969667.42715076,C34H38O18
733.1411248853577,3342801.934154774,C36H30O17
731.3288445372747,3072201.9165330706,C38H52O14
731.2920333589021,7278419.00744892,C37H48O15
731.2553092312567,9762820.037933402,C36H44O16
731.2189843595756,8851833.474791463,C35H40O17
731.1826420881579,5890075.442939123,C34H36O18
729.2766280395878,7016597.446142493,C37H46O15
729.2402491876413,8990420.22205242,C36H42O16
729.203659820704,7182088.000208619,C35H38O17
729.1671329958808,5490587.7081664875,C34H34O18
729.1306913447111,4246931.222291389,C33H30O19
729.0941263726697,3593416.603567731,C32H26O20
727.2975112409466,6230016.601775198,C38H48O14
727.2610012744684,7492773.420525644,C37H44O15
727.151962736281,4439397.382953991,C34H32O18
