,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O
4285,3839,263.1047489411172,263.105425817557,,7226260.417501134,3465.5600694771883,587566.1996870982,6.745046548350493,-1,,,,,,,,unassigned,,,,,,,,,,,,
4286,3840,263.10226558593484,263.10294245760997,,4234202.971374977,1975.4631367429374,587571.699986215,3.952237324290107,-1,,,,,,,,unassigned,,,,,,,,,,,,
4287,3842,263.08429925966766,263.08497609686947,,6083599.330174451,3090.6786580696876,587612.1998319813,5.678477980693963,-1,,,,,,,,unassigned,,,,,,,,,,,,
4288,3844,263.07348800306625,263.07416481952237,,4079815.046851219,1982.0209150954672,587635.9498386391,3.808130458878235,-1,,,,,,,,unassigned,,,,,,,,,,,,
4289,3845,263.06990192518026,263.0705787347548,,4618937.832003449,2076.6402436882267,587643.9497799131,4.311351775442085,-1,,,,,,,,unassigned,,,,,,,,,,,,
4290,3846,263.0683627389952,263.0690395456161,,11771730.564607557,5457.780022780043,587647.4498104695,10.98782302677867,-1,,,,,,,,unassigned,,,,,,,,,,,,
4291,3847,263.0658920436418,263.06656884552143,,3754465.1171041634,1720.2686255358124,587652.9499726166,3.5044463548108484,-1,,,,,,,,unassigned,,,,,,,,,,,,
4292,3848,263.0555703434975,263.05624712556914,,33126511.79171432,15411.478911471391,470140.9599508532,30.920538578771687,-1,,,,,,,,unassigned,,,,,,,,,,,,
4293,3849,263.04787893819923,263.04855570550995,,4618327.655561711,2392.2768427811716,587693.1998578989,4.310782232100931,-1,,,,,,,,unassigned,,,,,,,,,,,,
4294,3851,263.0371106988605,263.03778744550453,,12333358.168417701,7436.339863087724,470173.9598559081,11.512050512597392,-1,,,,,,,,unassigned,,,,,,,,,,,,
4295,3852,263.02957081554445,263.0302475477171,,4223713.320647903,2272.1574297106963,587734.4501287434,3.942446204355002,-1,,,,,,,,unassigned,,,,,,,,,,,,
